a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Feb 19,Spoon,Chateau Blues / Guess I'm Fallin In Love (Live),Single,Indie Rock,,,Matador ,Beggars,spotify:album:5XZdUzM4Q4XnuRN4L4xIYY,USMTD2600049,1874039543,191401223157,"Una versión en vivo de ""Guess I'm Fallin in Love"", una nueva canción de Spoon que se lanzó en agosto. La prestigiosa banda de rock de Austin ha estado trabajando arduamente en el estudio durante el último año, y este éxito explosivo (más su doble cara A, ""Chateau Blues"") ofrece un adelanto de lo que han estado preparando. La banda llevó la canción al escenario el otoño pasado, dando como resultado esta grabación de concierto completamente explosiva. Spoon volverá a la carretera este verano para una gira conjunta por Estados Unidos con The Beths.","A road-tested live take of “Guess I’m Fallin in Love,” a brand-new Spoon song that dropped in August. The esteemed Austin rock band has been hard at work in the studio over the last year & this simmering banger (+ its double A-side counterpart, “Chateau Blues”) offers an early glimpse at what they’ve been cooking up. The band took the song to the stage last fall, yielding this fully fired-up concert recording. Spoon will be back on the road this summer for a US co-headline tour with The Beths.",https://www.promojukebox.com/PEMDL11830771-CMVJ37BZ96P3H236-imeldahehir%40beggars.com%2Cimelda.hehir.mat1,,,,
,Low,Feb 19,LNZDNRF,LNZDNRF - 10th Anniversary,Album,indie rock,,,4AD,Beggars,,,,,,,,,,,
,High,Feb 20,"PNAU, Meduza",Rollin,Single,"electronic, pop, dance",Sept 4,,etcetc music,,spotify:album:7AHHVt5bV0J8C3gkdDB3Se,AUNV02600024,,5054289673818,"Los Íconos australianos de la música dance, PNAU se unen al trío italiano nominado al Grammy MEDUZA en “Rollin”, un track hipnótico y oscuro hecho para la pista de baile. Fusionando el ADN rave luminoso de PNAU con el sonido house global de MEDUZA, la canción reúne a dos potencias con miles de millones de streams combinados y marca el inicio de una serie de nuevos lanzamientos de PNAU este año, rumbo a su séptimo álbum de estudio.","Australian dance icons PNAU link up with Grammy-nominated Italian trio MEDUZA on ‘Rollin’, a hypnotic, dark dancefloor weapon. Blending PNAU’s sun-soaked rave DNA with MEDUZA’s globally dominant house sound, the track unites two powerhouse acts with billions of combined streams — and kicks off the rollout of a wave of new PNAU releases ahead of their 7th studio album.",https://etcetc.disco.ac/playlist-new/27358851?date=20260210&user_id=1054444&signature=hHjChu98Ix0cTUa-KJOSJerolGk%3AbHlzVgpe,,"6.5 billion streams (top 4 markets US, MX, Brazil, Aus)
16m+ Spotify monthlies / 266k followers",,
,Med,Feb 20,Hen Ogledd,DISCOMBOBULATED,Album,electronic,, End of the rhythm,Weird World,Domino,spotify:album:5NCdUrtZGteLXKRppy83EN,GBCEL2500487,1848325739,887833017265,"Hen Ogledd —el cuarteto formado por Dawn Bothwell, Rhodri Davies, Richard Dawson y Sally Pilkington— regresa en febrero de 2026 con su tercer álbum, DISCOMBOBULATED: un viaje brillante y sin etiquetas a través del estado de la nación. Grabado junto a Sam Grant en Blank Studios, el disco fusiona la protesta impulsada por metales de Scales Will Fall, la psicodelia en galés de Dead in a Post-Truth World y el asombro festivo de Clara. En el centro, la pieza de 20 minutos Clear Pools brilla con una esperanza delicada.","Hen Ogledd, the quartet of Dawn Bothwell, Rhodri Davies, Richard Dawson and Sally Pilkington, return with their third album in February 2026 DISCOMBOBULATED, a brilliant, genre-blurring journey through the state of the nation. Recorded with Sam Grant at Blank Studios, it fuses brass-driven protest ‘Scales Will Fall’, Welsh-language psychedelia ‘Dead in a Post-Truth World’, and festive wonder ‘Clara’. The 20-minute centrepiece ‘Clear Pools’ shimmers with delicate hope. ",https://delivery.dominomusic.com/8fc9ec0073f71f8c4a,,,,
,Low,Feb 20,Austra,Math Equation (Ineffekt's Quell Mix),Single,Electronic,,,Domino,,spotify:track:1qPLobUnZR4WmMYhPdatuc,GBCEL2500664,1870990852,887829153595,"Austra no había experimentado una ruptura devastadora hasta principios de 2020, cuando su pareja de muchos años terminó la relación de forma abrupta. “La persona que amaba se despertó un día, me dijo que no era feliz y nunca más la volví a ver.” Canalizó ese dolor en fragmentos poéticos escritos como catarsis —“You said I needed my own friends / So I found them / Then you fucked them”—, capturando un tipo de caos sáfico tan crudo como honesto. “Math Equation” combina ese desahogo con un gancho irresistible: es al mismo tiempo un reclamo ingenioso y una súplica agridulce por reconectar. El remix de Ineffekt transforma el sencillo en una versión lista para la pista de baile, reinterpretándolo como un potente himno club.","Austra had not fully experienced heartbreak until early 2020 when her long-time partner dropped a bombshell. ""The person I loved woke up one day, told me she wasn’t happy, and I never saw her again.” She unleashed her pain into poetic fragments in a cathartic Google doc - “You said I needed my own friends / So I found them / Then you fucked them.” There is an unmistakable type of sapphic chaos found here, and “Math Equation” is equal parts catchy clapback and bittersweet plea for reconnection. Ineffekt’s remix of “Math Equation” reinterprets the album announcement single as a club-ready dancefloor filler. ",https://delivery.dominomusic.com/9d3481c52d31e24116,,,,
pend repitch,Med,Feb 20,Judith Owen,That’s Why I Love My Baby,Single,jazz,,,Twanky Records,,,,,5056868106564,"La aclamada cantante, compositora y pianista Judith Owen regresa con “That’s Why I Love My Baby”, el primer adelanto de su próximo álbum, que verá la luz esta a principios del segundo trimestre. Tras el éxito internacional de Come On And Get It, celebrado por la crítica y con millones de reproducciones. Owen presenta una canción sofisticada, ingeniosa y emocionalmente brillante. Con su característico humor y sensibilidad, el track aborda de forma divertida y honesta la idea de aceptar a tu pareja tal como es, desmontando los clichés románticos para enfocarse en lo que realmente importa en una relación.","Acclaimed singer, songwriter, and pianist Judith Owen returns with “That’s Why I Love My Baby,” the first single from her forthcoming album, set for release at the beginning of the second quarter. Following the international success of Come On And Get It, praised by critics and streamed millions of times worldwide, Owen delivers a sophisticated, witty, and emotionally sharp new song. With her signature humor and sensitivity, the track playfully and honestly explores the idea of accepting your partner exactly as they are, dismantling romantic clichés to focus on what truly matters in a relationship.",https://www.dropbox.com/scl/fi/8jrz27znk9p1xqrxo4eb2/DIGITAL-FULL-SINGLE-Thats-Why-I-Love-My-Baby_Normal-MASTERED-4424.wav?rlkey=5dq8eeqkkrqum4uxj7gyttpfl&st=ixvaq9np&dl=0,,,,
,,,,,,,,,,,,,,,,,,,,,
,Rare,Feb 23,Doe Paoro,For All the Generations (Chancha Vía Circuito Remix),Single,"Ambient, meditation music ",,,,,,QZHN52657551,,821470838302,"“For All the Generations (Chancha Vía Circuito Remix)” es una poderosa colaboración entre Doe Paoro y Chancha Vía Circuito. Ambos artistas están actualmente de gira y presentarán la canción en vivo en Envision Festival y en distintas fechas internacionales, llevando el mensaje directamente a audiencias globales. Para fans de Nicola Cruz, El Búho, la electrónica global consciente, el yoga y espacios activistas.","“For All the Generations (Chancha Vía Circuito Remix)” is a powerful collaboration between Doe Paoro and Chancha Vía Circuito. Both artists are currently touring and will share the track live at Envision Festival and across their international dates, bringing the message directly to global audiences. For fans of Nicola Cruz and El Búho, conscious global electronica, yoga, and activist spaces.",https://www.dropbox.com/scl/fo/mm3ebu1mrw4gcs1rz1u3t/AJCxn5nXmVVeX6JRxmDMuc4?rlkey=gtvspjobqoosoppslb5vm41y5&st=xcnduwfy&dl=0,,"SPOTIFY PITCH: For All the Generations (Chancha Vía Circuito Remix)” is a powerful collaboration between Doe Paoro and Chancha Vía Circuito. Both artists are currently touring and will share the track live at Envision Festival and across their international dates, bringing the message directly to global audiences. Strong traction in Latin America, with 16,700 monthly listeners in Brazil and 13,300 in Mexico. For fans of Nicola Cruz and El Búho, conscious global electronica, yoga, and activist spaces.",,
,Med,Feb 23,Upchuck ,Last Breath,Single,"Punk, Rock",,,Domino,,spotify:track:7xcWsqQONJZtcOdduYsdko,GBCEL2500125,1875883791,887829157487,"Llega lo nuevo de la mejor maldita banda punk del momento: Upchuck. “Last Breath” lo tiene todo: guitarras estridentes y potentes, baterías explosivas y la voz arrolladora de KT al frente. Mezclada y producida por Ty Segall, y escrita junto a I’m Nice Now, el álbum debut de la banda para Domino, “Last Breath” se presenta antes de su gira por Australia y Nueva Zelanda este marzo.","Landing with you now is the latest from the best damn punk band around: Upchuck. “Last Breath” has it all - screeching and chugging guitars, bombastic drums, and KT’s commanding vocals. Mixed and produced by Ty Segall and written alongside I’m Nice Now, the band’s debut album for Domino, “Last Breath” is being unveiled ahead of the band’s AU/NZ tour this March.",https://delivery.dominomusic.com/694f44c6b2403befb4,,,,
,Low,Feb 24,Buck Meek,Can I Mend It?,Single,singer songwriter,,Can I Mend It?,4AD,Beggars,spotify:album:4iZBTCva0s1ngT4MpBUiUe,GBAFL2500529,1854203200,191400092570    ,"El nuevo LP de Buck Meek, The Mirror (sale el 27 de febrero), recorre el amor y el encuentro con uno mismo desde una curiosidad vulnerable. Producido por James Krivchenia (Big Thief), cuenta con la participación de la arpista Mary Lattimore, el compositor Alex Sommers y coros de Adrianne Lenker. El disco combina la sinergia en vivo de la banda con un mundo electrónico oblicuo. El focus track “Can I Mend It?” reflexiona con ternura sobre la reconciliación entre cuerdas ondulantes, baterías propulsivas y teclas etéreas. Elogios de Pitchfork, Consequence, DIY y Stereogum; NPR lo describe como “vasto y cósmico”. Gira mundial.","Buck Meek’s new LP, The Mirror (out Feb 27), traverses love and self-encounter with vulnerable curiosity. Prod. Big Thief bandmate James Krivchenia; ft. harpist Mary Lattimore, composer Alex Sommers, Adrianne Lenker support vocals — combines band’s live synergy w/ an oblique electronic world. Focus track “Can I Mend It?” tenderly ponders reconciliation via swaying strings, propulsive drums and lilting keys. Pitchfork, Consequence, DIY, Stereogum praise; “Vast and cosmic”, NPR. Global tour.",https://www.promojukebox.com/PEMDL47948556-FJ76ZWQTP2TB3VFJ-imeldahehir%40beggars.com%2Cimelda.hehir.4ad1.2,,,,
,High,Feb 24,The Menzingers,Nobody's Heroes,Single,"Rock, Punk",,,Epitaph,,spotify:track:3OEImZroksYhkQYVV6b8GE,USEP42552007,1869041312,0045778816309,"The Menzingers han construido una carrera convirtiendo la inquietud de la clase trabajadora en punk indie a gran escala. Vuelven con «Nobody's Heroes», su primer tema nuevo desde Some Of It Was True, de 2023. De vuelta en Filadelfia tras dos años de gira, la banda se reúne con su productor de toda la vida, Will Yip, para afinar su estilo al manera de Bruce Springsteen o Tom Petty,  convertendolo en algo más matizado pero siempre lleno de corazón. Cruda, himnótica y fácil de cantar, la canción es un mantra para seguir siendo uno mismo cuando el simple hecho de seguir adelante se convierte en algo heroico, y da pistas sobre un nuevo álbum que saldrá a la venta esta primavera.","The Menzingers have built a career turning working-class restlessness into widescreen indie punk. They return with “Nobody’s Heroes,” their first new music since 2023’s Some Of It Was True. Back in Philly after two years on the road, the band reunite with longtime producer Will Yip to sharpen their Springsteen-esque edge into something more nuanced. Raw, anthemic, and shout-along, the song is a mantra for staying yourself when just getting by feels heroic, hinting at a new album due this spring.",https://www.dropbox.com/scl/fi/eaii1qtk0uis9c9qq3hiz/The-Menzingers-Nobody-s-Heroes.wav?rlkey=leis2cekyoo4xc0zgfh4b9qxm&st=g0rnkduq&dl=0,,,,
,High,Feb 24,Courtney Barnett,Mantis / Sugar Plum,Single,indie,,-,Mom+Pop,,,,,,,,,,,,
,High,Feb 24,Jose Gonzalez,A perfect storm,Single,indie folk,,,,,,,,,,,,,,,
,Med,Feb 25,Social Distortion,Born To Kill,Single,"Rock, Punk",May 8,,Epitaph,,spotify:track:2dar1QSaBJKGCPXJQsef0J,USEP42527001,1873280355,0045778736843,"Tras 15 años de silencio, Social Distortion vuelve con Born to Kill, una canción que más que un regreso parece un ajuste de cuentas. La narrativa de Mike Ness sigue siendo tan afilada como siempre, con sus líneas de guitarra cortantes y la misma amenaza melódica que ha impulsado a la banda durante décadas. Construida sobre ritmos machacantes, riffs ardientes y una determinación desafiante, la canción rebosa la clásica garra de Social D, al tiempo que rechaza la nostalgia. Su rock n' roll sigue sonando urgente, vivido y muy vivo.","After a 15-year silence, Social Distortion roar back with Born to Kill, a snarling title track that sounds less like a comeback than a reckoning. Mike Ness’s storytelling remains flint-sharp, his guitar lines cutting with the same melodic menace that’s powered the band for decades. Built on crunchy grooves, fiery riffs, and defiant resolve, the song bristles with classic Social D grit while refusing nostalgia. Their rock n' roll still feels urgent, lived-in, and very much alive.",https://www.dropbox.com/scl/fi/rbsc69qhld46kmnkiyto6/Social-Distortion-Born-To-Kill.wav?rlkey=rxq8bo5wy13uyshy6lb36mgli&st=ek9nt4ts&dl=0,,,,
NO BRAZIL,High,Feb 25,Laufey,How I Get,Single,pop,Apr 3,,,AWAL,spotify:track:1gjrb6iiP6KIrQnDBIqqDi,US6R22525839,,820200125217,"El álbum deluxe de Laufey, A Matter of Time: The Final Hour, es el capítulo final de su hermoso, aclamado por la crítica y ganador del GRAMMY® tercer álbum, A Matter of Time; con el sencillo principal “How I Get”, esta edición expandida propone una introspección sobre aprender a convivir con las propias ansiedades, abrazar la incertidumbre, aceptar el paso del tiempo y encontrar calma después de la tormenta—, mientras la artista continúa consolidando su impacto global, sumando 7.25 mil M de reproducciones a lo largo de su carrera y 235 M de oyentes mensuales.",-,,,"SPOTIFY 
Album support - OOH, Fans First Event, NMF cover, push notification, mobile home banner
167 million monthly streams.
Featured on Today's Top Hits, Mood Booster, Chill Hits, Make Out Jams
",,
,High,Feb 25,"Meridian Brother, Instituto Mexicano del Sonido",Cumbia Fantasia,Single,"cumbia, latin",,,Ansonia,,spotify:album:3VvBzLgqn97bhoU8XR4piF,QZKVY2001961,1872483063,198704974588,"Cumbia Fantasia' mezcla la cumbia colombiana clásica con la energía potente y psicodélica de Marco Antonio Sánchez (Costa Azul/Rigo Tovar). Impulsado por hipnóticos riffs de órgano y un impresionante solo de teclado de Lauro López, el tema va bajando el ritmo poco a poco hasta llegar a un groove más pesado y como de ensueño. Con su coro melancólico — “Vivo en fantasía, pero solo tengo unos pocos momentos felices” — esta es una cumbia atrevida y moderna, con un alma muy clásica, perfecta para esas listas de música psicodélica latina y global más arriesgadas.","“Cumbia Fantasia” blends classic Colombian cumbia with the punchy, psychedelic energy of Marco Antonio Sánchez (Costa Azul/Rigo Tovar). Driven by hypnotic organ riffs and a standout keyboard solo from Lauro López, the track gradually slows into a heavier, dreamlike groove. With its haunting chorus — “I live in fantasy, but I have only a few happy moments” — this is a bold, modern cumbia with vintage soul, perfect for adventurous Latin and global psych playlists.",https://s.disco.ac/rhnwyfgmxvwd,,,,
,High,Feb 25,American Football,Bad Moons,Single,"alternative, rock",May 1,,Polyvinyl,,spotify:album:31Az8zsLomPk3LrfEs0q6p,US3R42651504,1861926167,644110051509,"En «Bad Moons», los emblematicos héroes del rock alternativo American Football comparte el primer sencillo de su nuevo álbum LP4, que saldrá a la venta el 1 de mayo. En la que podría ser la canción más catártica y líricamente vulnerable de su carrera, «Bad Moons» comienza con un piano alegre y un loop de batería lo-fi que evoluciona hasta convertirse en una obra maestra del post-rock oscura y trascendente. Grabado con Sonny Diperri (My Bloody Valentine, M83, Kurt Vile), LP4 cuenta con la participación de Brendan Yates, de Turnstile, Wisp y otros. Reportaje confirmado en GQ por Grayson Currin + gira mundial. Más de 255 millones de reproducciones en Spotify. 475 000 seguidores en redes sociales.","On “Bad Moons,” American Football shares 1st single from new album LP4, out 5/1. On what may be the most cathartic & lyrically vulnerable song of their career, “Bad Moons,” begins w/ bouncy piano + a lo-fi drum loop that evolves into a dark & transcendent post-rock masterpiece. Recorded w/ Sonny Diperri (My Bloody Valentine, M83, Kurt Vile), LP4 features guests from Turnstile’s Brendan Yates, Wisp & more. Confirmed GQ feature by Grayson Currin + world tour. 255M+ Spotify streams. 475k socials.",https://www.dropbox.com/scl/fi/shcyqgwb3qha4k14i7zi8/04-Bad-Moons.wav?rlkey=2okoo4mbselhcfkq9gahksm9l&st=v0c2pos1&dl=0,,,,
,Med,Feb 26,War Child & Ezra Collective & Greentea Peng,Helicopters,Single,"jazz, r&b",,,,,,,,,,,,,,,
,Med,Feb 26,Tom Misch,Slow Tonight,Single,"indie, alternative ",March 27th ,,AWAL ,,,,,,"Llevando a los oyentes en un viaje a través de grooves nocturnos, Tom Misch presenta su más reciente sencillo, ‘Slow Tonight’, extraído de su próximo álbum ‘Full Circle’ (27 de marzo), un trabajo que explora las historias y los momentos que lo han marcado durante los últimos cuatro años —la familia, las amistades y la naturaleza— y que celebra el proceso de reencontrarse consigo mismo.","Taking listeners on a ride through late-night grooves, Tom Misch presents his latest single ‘Slow Tonight’ lifted from his forthcoming album ‘Full Circle’ (27th March). Forthcoming album Full Circle explores the stories and moments that have shaped Tom over the past four years: family, friendships, nature and celebrates the work of finding his way back to himself.",  PW: TM_ST_2026 https://awalm.disco.ac/playlist-new/27239526?date=20260121&user_id=2823334&signature=Z0U4yct1iC46-3_aG4ll6rRdrKI%3AXbj4Su3O ,,,,
,Med,Feb 26,Bye Parulla,KISSBURN,Single,"Indie, alternative ",,,Secret City Records,,,CA0RZ2500402,,,"Bye Parula anuncian su nuevo álbum Something Out Of Nothing, disponible el 5 de junio vía Secret City Records. Producido por Robbie Kuster (Patrick Watson) y mezclado por Warren Spicer, el disco refleja una etapa más intuitiva e introspectiva de la banda. Incluye colaboraciones con Elisapie y miembros de Bibi Club y Karkwa. El primer sencillo “KISSBURN” ya está disponible. Presentaciones en Canadá y festivales este verano.","Bye Parula announce their new album Something Out Of Nothing, out June 5 via Secret City Records. Produced by Robbie Kuster (Patrick Watson) and mixed by Warren Spicer, the record marks a shift toward more intuitive, introspective songwriting. Featuring Elisapie and members of Bibi Club and Karkwa, the album expands their sonic palette. First single “KISSBURN” is out now. Touring Canada this spring with summer festivals to follow.",https://secretcity.disco.ac/playlist-new/27219500?date=20260130&user_id=3100290&signature=daR9cJB2URrCw6dt7EyL-odORgU%3A9ksjjyoC,,,,
,Med,Feb 27,underscores,Tell Me (U Want It),Single,hyperpop,,- ,Mom+Pop,,,,,,,,https://momandpopmusic.disco.ac/playlist-new/27377966?date=20260203&user_id=1417882&signature=gTpVFLC82AIV2HyNZ2e20EAsGlE%3A6CpNcPmK     PW: TM@$26,,,,
,High,Feb 27,Angelé ft. Justice ,What You Want ,Single,,,,Because ,VMG ,spotify:track:7J4dPn4Xg9Op0e8N2tjqkX,,,,,,,,,,
,High,Feb 27,Buck Meek,The Mirror,Album,singer songwriter,,Can I Mend It?,4AD,Beggars,spotify:album:3LE5w1aEJa09VcrUk2SCEF,GBAFL2500529,1854203200,191400087057    ,"El nuevo LP de Buck Meek, The Mirror (sale el 27 de febrero), recorre el amor y el encuentro con uno mismo desde una curiosidad vulnerable. Producido por James Krivchenia (Big Thief), cuenta con la participación de la arpista Mary Lattimore, el compositor Alex Sommers y coros de Adrianne Lenker. El disco combina la sinergia en vivo de la banda con un mundo electrónico oblicuo. El focus track “Can I Mend It?” reflexiona con ternura sobre la reconciliación entre cuerdas ondulantes, baterías propulsivas y teclas etéreas. Elogios de Pitchfork, Consequence, DIY y Stereogum; NPR lo describe como “vasto y cósmico”. Gira mundial.","Buck Meek’s new LP, The Mirror (out Feb 27), traverses love and self-encounter with vulnerable curiosity. Prod. Big Thief bandmate James Krivchenia; ft. harpist Mary Lattimore, composer Alex Sommers, Adrianne Lenker support vocals — combines band’s live synergy w/ an oblique electronic world. Focus track “Can I Mend It?” tenderly ponders reconciliation via swaying strings, propulsive drums and lilting keys. Pitchfork, Consequence, DIY, Stereogum praise; “Vast and cosmic”, NPR. Global tour.",https://www.promojukebox.com/PEMDL47948556-FJ76ZWQTP2TB3VFJ-imeldahehir%40beggars.com%2Cimelda.hehir.4ad1.2,,,,
,High,Feb 27,Mitski,Nothing's About to Happen to Me ,Album,singer songwriter,,"""If I Leave""",Dead Oceans,Secretly,,,,,,,https://es.promojukebox.com/acdl16802521-f7b89b913d8b92f2a43a72c7cb8edd83,,,,
,High,Feb 27,RUBIO,EPV1OJ,Album,indie latin,,Mi Chica,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIGH EN COLOMBIA,Med,Mar 2,Ela Minus,TIEMPO DEFINIDO POR LA PRESENCIA DE LUZ.,Single,Electronic,,,Domino,,spotify:track:5vYtUgFicg1tjLBYoDXfqF,GBCEL2500830,1876299688,887829157685,"Esta canción estaba pensada para formar parte de DIA. La mezclamos y masterizamos junto al resto del álbum, pero finalmente no encajaba dentro de la secuencia y decidí dejarla fuera. Cuando el año pasado estaba llegando a su fin, empecé a pensar en una manera de cerrar el ciclo de DIA, y esta “cara B” volvió constantemente a mi mente. Escribí una letra muy sencilla para la pieza, como un guiño a DIA: “TIME DEFINED BY THE PRESENCE OF LIGHT”. “Tiempo Definido Por La Presencia De Luz” conecta directamente con DIA.","This song was meant to be part of DIA. We mixed and mastered it with the rest of the record, but it didn't fit the sequence, so I left it out. As last year was coming to a close, I started thinking about a way to close the DIA cycle, this “B side” kept coming to mind. I wrote very simple lyrics to the piece, a wave to DIA: “TIME DEFINED BY THE PRESENCE OF LIGHT.” “Tiempo Definido Por La Presencia De Luz” connects directly to DIA - Ela Minus.",https://delivery.dominomusic.com/d81bbe63fac755ff04,,,,
,High,Mar 2,Maya Hawke,Devil You Know,Single,,,,,,,,,,,,,,,,
,High,Mar 3,Jalen Ngonda ,Doctrine Of Love ,Single,"R&B, Soul ",June 5th ,,,,,,,634457250444,"Tras el éxito rotundo de su álbum debut Come Around and Love Me, Jalen regresa con “Doctrine of Love”, el poderoso tema que da título a su esperado segundo disco. Su sencillo viral “If You Don’t Want My Love” ha superado los 253 millones de reproducciones hasta la fecha, consolidándolo como una de las voces más esenciales y prometedoras del soul moderno. Para fans de: Leon Bridges, Curtis Mayfield, Olivia Dean.","Following the breakout success of his debut album Come Around and Love Me, Jalen returns with “Doctrine of Love”, the powerful title track from his highly anticipated sophomore record. His viral single “If You Don’t Want My Love” has amassed over 253 million streams to date, cementing him as one of modern soul’s most vital new voices. For fans of: Leon Bridges, Curtis Mayfield, Olivia Dean",https://daptonerecords.audiosalad.com/?xurl=46cfa65be6077d244680b92df636133e95a794f9,,,,
,High,Mar 3,Matias Aguayo,Sentimientos encontraos,Single,Electronic,,,Platoon,,,US23A9404654,,5059449384689,,,https://weareplatoon.disco.ac/playlist-new/27157960?date=20260217&user_id=1242879&signature=A_bN3FKqoP9yMJzzsB-QNjxP8Fc%3AMwtfRe0W,,,,
,High,Mar 3,Aldous Harding,One Stop,Single,Alternative,,,4AD,Beggars,spotify:album:14XF8pdRSeyOI0MUbIpXAE,GBAFL2500550,1876846303,191400092471    ,"La cantautora neozelandesa Aldous Harding presenta su nuevo álbum Train on the Island (8 de mayo), coproducido junto a John Parish (PJ Harvey, Dry Cleaning) y liderado por el sencillo “One Stop”. Aclamada por medios como NPR, The New Yorker, Pitchfork, Rolling Stone y Fallon, y respaldada por artistas como Lorde y Japanese Breakfast, Harding ha sido descrita como “extraña, sublime y completamente única” (NME) y “una de las compositoras más originales” (The Guardian). Con recientes colaboraciones junto a Perfume Genius y Sleaford Mods, prepara una gira global y fechas de invierno junto a Nick Cave.","New Zealand-based musician & songwriter Aldous Harding’s new LP Train on the Island (out May 8) was co-produced w/ John Parish (PJ Harvey, Dry Cleaning); lead single “One Stop”. Prev NPR, New Yorker, Pitchfork, Rolling Stone, Fallon praise; Lorde, Japanese Breakfast co-signs. “Strange, sublime, completely unique”, NME; “One of the most original songwriters”, Guardian; “Enigmatic [...] surreptitiously catchy”, MOJO. Recent Perfume Genius, Sleaford Mods features. Global tour; winter w/ Nick Cave.",https://www.promojukebox.com/PEMDL13941167-NLQMSBRUCKLAH5F8-imeldahehir%40beggars.com%2Cimelda.hehir.4ad1.2,,,,
,High,Mar 3,Good Kid,Cicada,Single,"indie pop, rock ",April 3rd,,,,,,,,,,,,,,
,High,Mar 4,Metric,Time is a Bomb,Single,indie rock ,Apr 24,,,,,,,,"Metric presenta ""Time is a Bomb"" el 2do sencillo de su proximo y décimo album 'Romantize The Dive"",  un álbum que marca el regreso a las raíces indie-rock de la banda  junto al equipo detrás de sus discos más icónicos.","Metric presents “Time Is a Bomb,” the second single from their upcoming and 10th album Romantize The Dive, a record that marks a return to the band’s indie-rock roots alongside the team behind their most iconic releases.",,,,,
,Med,Mar 4,Dagmar Zuniga,in filth your mystery kingdom / far smile peasant in yellow music,Album,,,Even God Gets Stuck In Devotion (ft. Austyn Wohlers) ,AD93,Beggars,,,,,"“Even God Gets Stuck In Devotion” es una canción atmosférica y delicada, casi como una nana suspendida en el tiempo. Entreteje la voz y guitarra hipnótica de Zúñiga con la flauta agridulce de Wohlers, funcionando como una cápsula emocional y un bálsamo frente a la soledad y el sufrimiento. La repetición hipnótica, las armonías superpuestas y un estribillo en bucle giran como una oración devocional o una bailarina en una caja musical. Es solo una capa del universo artístico autocontenido de Zúñiga; su próximo álbum, in filth, está lleno de detalles y “easter eggs” que nos arrastran a su mundo idiosincrático. Para fans de Cindy Lee, Vashti Bunyan y Joanne Robertson."," ‘Even God Gets Stuck In Devotion’ is an atmospheric, delicate lullaby of a track. Weaving Zuniga’s haunting voice & guitar with Wohlers’ bittersweet flute. A time capsule & balm to solitude & suffering. Hypnotic repetition occurs throughout, with layered harmonies and a looping  chorus, circling like a devotional prayer or ballerina in a music box.  One layer of her self-contained artistic universe, her forthcoming record ’in filth’ is scattered with jewels & easter eggs that pull us into Zuniga’s idiosyncratic world.  RIYL: Cindy Lee, Vashti Bunyan, Joanne Robertson",,,,,
,Med,Mar 4,Sasami,Honeycrash (Angie McMahon Cut) / I’ll Be Gone (Patti Harrison Remix Cut),Single,,,,Domino,,spotify:track:69lO7FaDflkguP24lLn5JR,GBCEL2500785,1877177472,887829144166,,,https://delivery.dominomusic.com/3309bf12964a1db2b8,,,,
,Med,Mar 4,Natalia Doco,Cha Cha Trap,Single,,Mar 27,Hacha,,,,FR9W12565789,,199891666430,"**Cha Cha Trap** es el **tercer sencillo** del **próximo álbum** de Natalia Doco, cuyo lanzamiento está previsto para la **primavera de 2026**. Nacida en Argentina y afincada en París, Natalia sigue dando forma a un sonido singular en la encrucijada entre las **raíces latinoamericanas** y el **pop contemporáneo**.
Cantada en **español**, Cha Cha Trap **mezcla ritmos de cha-cha-cha con beats con influencias trap**, creando un groove tenso y enérgico. Con **letras agudas e incisivas**, Natalia explora la **autoprotección emocional**, las **dinámicas de poder** y el momento de tomar el control. Imponente y audaz, la canción abre un nuevo capítulo que Natalia dará vida en su **gira de primavera de 2026** por **Francia**, **España** y **México**.","**Cha Cha Trap** is the **third single** from Natalia Doco’s **upcoming album**, set for release in **spring 2026**. Argentine-born and Paris-based, Natalia continues to shape a singular sound at the crossroads of **Latin American roots** and **contemporary pop**.
Sung in **Spanish**, Cha Cha Trap **blends cha-cha-cha rhythms with trap-inflected beats**, creating a taut and driving groove. With **sharp, incisive lyrics**, Natalia explores **emotional self-preservation**, **power dynamics**, and the moment of taking control. Both commanding and bold, the track opens a new chapter Natalia will bring to life on her **spring 2026 tour** across **France**, **Spain**, and **Mexico**.",https://www.dropbox.com/scl/fi/x541mfoiexisi6e3wyc35/Natalia-Doco-HACHA-04-Cha-Cha-Trap-2444100.wav?rlkey=lzqc65lko46f8t24nfvyp3iwa&st=88rsh9t9&dl=0,,,,
,Low,Mar 5,Lush,Lovelife - 30th Anniversary,Album,Alternative,,,4AD,Beggars,,,,,,,,,,,
